"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0262","Compound feeding stuffs","Base 2015=100","100.5604228"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02621","Compound feeding stuffs for calves","Base 2015=100","99.76987389"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","99.26162789"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02623","Compound feeding stuffs for pigs","Base 2015=100","100.6933283"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02624","Compound feeding stuffs for poultry","Base 2015=100","103.8890222"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02625","Other compound feeding stuffs","Base 2015=100","101.8845371"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","030","Maintenance of materials and buildings","Base 2015=100","101.1372975"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","029","Other goods and services","Base 2015=100","105.33489"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01","Agricultural output price index","Base 2015=100","104.4236254"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","011","Crop output","Base 2015=100","119.5703191"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0111","Cereals including seeds","Base 2015=100","123.922962"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01121","Fruit and Vegetables","Base 2015=100","106.8791852"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0113","Potatoes including seeds","Base 2015=100","140.4418024"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","012","Animal output","Base 2015=100","102.4383632"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0121","Animals","Base 2015=100","95.07690191"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01211","Cattle","Base 2015=100","93.35875722"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","012111","Cattle excluding calves","Base 2015=100","93.45574298"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","012112","Calves","Base 2015=100","76.16906403"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01212","Pigs","Base 2015=100","96.47928325"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01213","Sheep","Base 2015=100","105.0590599"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01214","Poultry","Base 2015=100","99.49663782"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0122","Animal products","Base 2015=100","113.5415804"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01221","Milk","Base 2015=100","114.2850156"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","01222","Eggs","Base 2015=100","98.84614874"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","012231","Wool","Base 2015=100","42.80555621"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02","Agricultural input price index","Base 2015=100","102.7416509"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","021","Seeds","Base 2015=100","98.155319"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","022","Energy","Base 2015=100","106.535507"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0221","Electricity","Base 2015=100","102.2342098"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0222","Motor fuel","Base 2015=100","108.0212806"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0223","Lubricants","Base 2015=100","104.195478"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","023","Fertilisers","Base 2015=100","86.36485102"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0231","Straight fertilisers","Base 2015=100","84.0889594"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0232","Compound fertilisers","Base 2015=100","86.6551966"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02321","PK fertilisers","Base 2015=100","88.5800585"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02322","NPK fertilisers","Base 2015=100","86.60719617"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0233","Other fertilisers","Base 2015=100","102.8571429"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","024","Plant protection products","Base 2015=100","103.9342045"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","025","Veterinary expenses","Base 2015=100","105.2864356"
